OLID,author,name,cover
OL34534882W,Paul Kalanithi,When Breath becomes Air
OL20537401W,Lynne Murphy,The Prodigal Tongue
OL20153626W,David Graeber,Bullshit Jobs
OL20843696W,James Comey,A Higher Loyalty
OL27846773W,Siddhartha Mukherjee,The Song of the Cell
OL20046006W,Michael Lewis,The Undoing Project
OL24149728W,Eliot Higgins,We are Bellingcat
OL25328015W,Sebastian Mallaby,The Power Law
OL15540668W,Siddhartha Mukherjee,The Emperor of all Maladies
OL20787306W,Gregory Zuckerman,The Man Who Solved the Market
OL33857307M,"Adam Rutherford, Hannah Fry",Rutherford & Fry's Complete Guide to Absolutely Everything
OL24340933W,Steven Pinker,Rationality
OL36675855M,Nathan Lents,Human Errors
OL18201749W,Shoshana Zuboff,The Age of Surveillance Capitalism
OL22089096W,Nicolas Nissim Taleb,Skin in the Game
OL83715W,Dalai Lama,Freedom in Exile
OL8062007W,Burton Malkiel,A Random Walk Down Wall Street
OL1968368W,Robert Greene,48 Rules of Power
OL16568840W,Jonathan Haidt,The Righteous Mind
OL28623980W,Ginni Rometty,Good Power
OL19663289W,Nick Lane,The Vital Question
OL17095301W,Randall Munroe,What If? 2
OL30809615W,Chelsea Manning,Readme.txt
OL32387462M,Bjorn Lomborg,False Alarm
OL21209060W,James Scott,Rampage
OL27810387W,Bogdanich & Forsythe,When McKinsey comes to Town
OL20334242W,Zohar & Mishal,Mossad
OL8305185W,Bjorn Lomborg,The Skeptical Environmentalist
OL1751051W,Sokal & Bricmont,Fashionable Nonsense
OL25807247W,Seth Stephens-Davidowitz,Don't Trust Your Gut
OL27343095M,Raghuram Rajan,The Third Pillar
OL17551552W,Hayao Miyazaki,Turning Point
OL4288870W,Walter Isaacson,Einstein: His Life and Universe
OL17043758W,Hussain Zaidi,Dongri to Dubai
OL18821160W,Molly Bloom,Mollyâ€™s Game
OL17715915W,Adam Rutherford,A Brief History of Everyone Who Ever Lived
OL278022W,Dubner and Levitt,Freakonomics
OL28321311M,Jocko Willink,Extreme Ownership
OL24207868M,Immanuel Kant,Metaphysics of Morals
OL29506523M,Friedrich Nietzsche,God is Dead. God Remains Dead. And We Have Killed Him
OL35996435M,Harish Bhat,#Tatastories
OL7927002M,Gene Kranz,Failure Is Not an Option
OL32754021M,Frans de Waal,Are We Smart Enough to Know How Smart Animals Are
OL46535432M,Matthew Black,Operation Underworld
OL51149627M,Jonn Elledge,A History of the World in 47 Borders
OL7318016M,Roger Penrose,The Road to Reality
OL54610936M,Plato,Republic
OL27157451M,Serhii Plokhy,The Last Empire
OL28635528M,Benjamin Graham,The Intelligent Investor
OL52209904M,Malcom Gladwell,Revenge of the Tipping Point