"Neil DeGrasse Tyson","Letters from an Astrophysicist",9781324003311,2021
"Neil DeGrasse Tyson","Astrophysics for People in a Hurry",9780393609394,2021
"Hector Garcia, Francesc Miralles","Ikigai",9780143130727,2021
"Neil DeGrasse Tyson, Avis Lang","Accessory to War",9781984833983,2021
"Robert L Picconi","Einstein for Everyone",9780739489031,2021
"Jordan Peterson","12 Rules for Life: An Antidote to Chaos",9780141988511,2021
"Nicollo Machiavelli","The Prince",9781074139650,2021
"Bill Gates","How to Avoid a Climate Disaster",9780385546140,2021
"Hans Rosling","Factfullness",9781250123824,2021
"Walter Isaacson","The Code Breaker",9781982115876,2021
"Fyodor Dostoyevsky","Crime and Punishment",9781510766709,2021
"Nassim Taleb","Anti-fragile",9780812979688,2021
"Matt Parker","Humble Pi",9780593084694,2021
"George Orwell","1984",9781785996313,2021
"Cathy O’Neil","Weapons of Math Destruction",9780241296813,2021
"James Clear","Atomic Habits",9781847941831,2021
"Tim Harford","How to Make the World Add Up",9780349143866,2021
"Leonard Susskind","Theoretical Minimum: Classical Mech",9780141976228,2021
"Bill Bryson","A Short History of Nearly Everything",9780307885159,2021
"Adam Smith","The Wealth of Nations",9781404309982,2021
"George Orwell","Animal Farm",9781943138425,2021
"Elizabeth Kolbert","The Sixth Extinction",9781250062185,2021
"Marry Shelly","Frankenstein",9789176370728,2021
"Aldous Huxley","Brave New World",9780062001719,2021
"Jonathan Haidt, Gred Luianoff","The Coddling of the American Mind",9780735224919,2021
"Yeonmi Park","In Order to Live",9781611764666,2021
"Daniel Kahneman","Thinking Fast and Slow",9780385676533,2021
"Richard Dawkins","The God Delusion",9780552773317,2021
"Lao Tau","Tao Te Ching",9781787247659,2021
"Angela Duckworth","Grit",9781501111105,2021
"Dawkins, Bennett, Harris, Hitchens","The Four Horsemen",9780525511953,2021
"Reed Hastings","No Rules Rules",9781984877864,2021
"Miyamoto Musashi","The Book of Five Rings",9781611806403,2021
"Malcom Gladwell","Outliers",9780316024976,2021
"Victor Frankl","Man’s Search for Meaning",9780807067994,2021
"Charles Darwin","On The Origin of Species",9781402789595,2021
"Friedrich Nitzsche","Beyond Good and Evil",NaN,2021
"John Brooks","Business Adventures",575003499,2021
"Noam Chomsky","Manufacturing Consent",9780375714498,2021
"Stephen Hawking","Brief History of Time",9780553380163,2021
"Aleksandr Solzhenitsyn","The Gulag Archipelago",60007761,2021
"Jon Ronson","The Psychopath Test",9781594488016,2021
"Stephen Hawking","Black Holes and Baby Universes",553095234,2021
"Arthur Schopenhauer","The Art of Being Right",9781602063518,2021
"Stephen Hawking","The Grand Design",9780553819229,2021
"Bertrand Russell","Education",9788130700182,2021
"Gad Saad","The Parasitic Mind",9781621579595,2021
"Barack Obama","A Promised Land",9781524763169,2021
"Christopher Browning","Ordinary Men",60190132,2021
"Robert Iger","The Ride of a Lifetime",9780593170984,2021
"Jordan Peterson","12 More Rules for Life: Beyond Order",9780241407622,2021
"Richard Feynman","Six Not So Easy Pieces",9780738206509,2021
"Nicholas Carr","The Shallows",9780393339758,2021
"Yuval Noah Harari","Sapiens",9780062316097,2021
"Yuval Noah Harari","Homo Deus",9780771038686,2021
"Richard Feynman","What do you care what other people think?",9780553347845,2021
"Richard Feynman","Surely You’re Joking Mr. Feynman",553346687,2021
"Titania McGrath","Woke",9788491819707,2021
"Robert Kiyosaki","Rich Dad Poor Dad",9781612680019,2021
"Joe Navarro","What Every Body is Saying?",9780061438295,2021
"David Attenborough","Life on Earth",9780316057455,2021
"Chriss Voss","Never Split the Difference",9780062407801,2021
"Chiara Marletto","The Science of Can and Can’t",9780241310946,2021
"Richard Rhodes","The Making of the Atomic Bomb",9780684813783,2021
"Hannah Arendt","Eichmann in Jerusalem",143039881,2021
"Malcom Gladwell","The Bomber Mafia",9780241535868,2021
"Malcom Gladwell","Talking to Strangers",9780316299220,2021
"Walter Isaacson","The Innovators",9781594138850,2021
"Matthew Walker","Why We Sleep",9781501144325,2021
"Vaclav Smil","Numbers Don’t Lie",9780241454411,2021
"Abhijit Banerjee & Esther Duflo","Poor Economics",9780718193669,2021
"David Epstien","Range",9780735214507,2021
"Abhijit Banerjee & Esther Duflo","Good Economics for Bad Times",9781549128851,2021
"Steven Pinker","How The Mind Works",9780393045352,2021
"Steve Strogatz","Infinite Powers",9781328879981,2021
"Sun Tzu","The Art of War",9781403774644,2021
"Hector Garcia, Francesc Miralles","Ichigo Ichie",9781529401295,2021
"Jordan Peterson","Maps of Meaning",9780415922227,2021
"Kevin Many et al","Making the World Work Better",9780132755108,2021
"Michael Pollan","This is Your Mind on Plants",9780593296905,2021
"Richard Feynman","Don’t You Have Time to Think?",9780141021133,2021
"Morgan Housel","Psychology of Money",9780857197689,2021
"Brian Christian & Tom Griffiths","Algorithms to Live By",9780007547999,2021
"Herbert Bix","Hirohito",9780060931308,2021
"Richard Ayoade","Ayoade on Ayoade",9780571316533,2021
"Meik Wiking","The Little Book of Hygge",9781470828363,2021
"Meik Wiking","The Little Book of Lykke",9781538499368,2021
"Joseph Heller","Catch-22",9781451621174,2021
"Richard Feynman","Six Easy Pieces",9780738206509,2021
"Herman Hesse","Siddhartha",9789586392938,2021
"Stephen Hawking","The Theory of Everything",1893224546,2021
"Joe Navarro","Louder than Words",9780061969867,2021
"Parag Khanna","Connectography",9781474604253,2021
"Hayao Miyazaki","Starting Point",9781421561042,2021
"Andrew McAfee","More From Less",9781982103576,2021
"Matt Richtel","An Elegant Defense",9780062698490,2021
"Anthony Beevor","D-Day",9780141048130,2021
"Thomas Gryta, Ted Mann","Lights Out",9780358567059,2021
"David Hoffman","Dead Hand",9781848312302,2021
"G H Hardy","A Mathematicians Apology",9781107604636,2021
"Paul Kalanithi","When Breath becomes Air",9780812988406,2023
"Lynne Murphy","The Prodigal Tongue",9781977303356,2023
"David Graeber","Bullshit Jobs",9781501143335,2023
"James Comey","A Higher Loyalty",9781529003130,2023
"Siddhartha Mukherjee","The Song of the Cell",9781982117375,2023
"Michael Lewis","The Undoing Project",9781410496454,2023
"Eliot Higgins","We are Bellingcat",9781635577303,2023
"Sebastian Mallaby","The Power Law",9780525559993,2023
"Siddhartha Mukherjee","The Emperor of all Maladies",9781439107959,2023
"Gregory Zuckerman","The Man Who Solved the Market",9780241981344,2023
"Adam Rutherford, Hannah Fry","Rutherford & Fry's Complete Guide to Absolutely Everything",9780393881578,2023
"Steven Pinker","Rationality",9780525561996,2023
"Nathan Lents","Human Errors",9781684413324,2023
"Shoshana Zuboff","The Age of Surveillance Capitalism",9781610395694,2023
"Nicolas Nissim Taleb","Skin in the Game",9780241300657,2023
"Dalai Lama","Freedom in Exile",9780349104621,2023
"Burton Malkiel","A Random Walk Down Wall Street",9780393320404,2023
"Robert Greene","48 Rules of Power",140280197,2023
"Jonathan Haidt","The Righteous Mind",9780307377906,2023
"Ginni Rometty","Good Power",9781647823221,2023
"Nick Lane","The Vital Question",9781781250372,2023
"Randall Munroe","What If? 2",9780525537113,2023
"Chelsea Manning","Readme.txt",9781250872449,2023
"Bjorn Lomborg","False Alarm",9781541647473,2023
"James Scott","Rampage",9780393357561,2023
"Bogdanich & Forsythe","When McKinsey comes to Town",9780385546232,2023
"Zohar & Mishal","Mossad",9780062123411,2023
"Bjorn Lomborg","The Skeptical Environmentalist",9780521010689,2023
"Sokal & Bricmont","Fashionable Nonsense",9780312204075,2023
"Seth Stephens-Davidowitz","Don't Trust Your Gut",9781526605092,2023
"Raghuram Rajan","The Third Pillar",9780525558316,2023
"Hayao Miyazaki","Turning Point",9781421560908,2023
"Walter Isaacson","Einstein: His Life and Universe",9780739489031,2023
"Hussain Zaidi","Dongri to Dubai",9788174368942,2023
"Molly Bloom","Molly’s Game",9780062838582,2023
"Adam Rutherford","A Brief History of Everyone Who Ever Lived",9780297609377,2023
"Dubner and Levitt","Freakonomics",9780060731328,2023
"Jocko Willink","Extreme Ownership",9781250270962,2023
"Immanuel Kant","Metaphysics of Morals",9781434605160,2023
"Friedrich Nietzsche","God is Dead. God Remains Dead. And We Have Killed Him",9780241472842,2023
"Harish Bhat","#Tatastories",9780670095322,2023
"Gene Kranz","Failure Is Not an Option",9780743214476,2023
"Frans de Waal","Are We Smart Enough to Know How Smart Animals Are",9781504712217,2023
"Matthew Black","Operation Underworld",9780806542164,2023
"Jonn Elledge","A History of the World in 47 Borders",9781891011573,2023
"Roger Penrose","The Road to Reality",9780099440680,2023
"Plato","Republic",9781534626911,2023
"Serhii Plokhy","The Last Empire",9780465056965,2023
"Benjamin Graham","The Intelligent Investor",9780062312686,2023
"Malcom Gladwell","Revenge of the Tipping Point",9780316575805,2023
"Malcolm Gladwell","Blink",9781598200874,2022
"Malcolm Gladwell","David & Goliath",9782894729816,2022
"Richard Dawkins","Outgrowing God",9781447223917,2022
"Michael Pollan","Cooked",9781846147500,2022
"Malcolm Gladwell","What the Dog Saw",9780316076326,2022
"Malcolm Gladwell","Tipping Point",316346624,2022
"Richard Dawkins","The Greatest Show on Earth",9781416594789,2022
"Jon Ronson","Lost at Sea",9781787631212,2022
"A Thousand Brains","Jeff Hawkins",9781541675797,2022
"Vaclav Smil","Energy",9781851684526,2022
"Michael Pollan","How To Change Your Mind",9780241294222,2022
"Daniel Kahneman et al.","Noise",9780316451406,2022
"Richard Dawkins","The Blind Watchmaker",393022161,2022
"Haruki Murakami","Men Without Women",9780385689441,2022
"Richard Dawkins","The Magic of Reality",9780593066126,2022
"Edward Snowden","Permanent Record",9781250237231,2022
"Michael Pollan","The Omnivore’s Dilemma",9780786289523,2022
"Trevor Noah","Born a Crime",9781473635289,2022
"Walter Isaacson","Steve Jobs",9781501127625,2022
"Bastian Obermayer, Fredrik Obermaier","The Panama Papers",9781543623833,2022
"Richard Dawkins","The Selfish Gene",195200004,2022
"Raghuram Rajan","Fault Lines",9789350291733,2022
"Thomas Piketty","Capital in 21st Century",9780674430006,2022
"Tom Burgis","Kleptopia",9780062883667,2022
"Douglas Adams","The Ultimate Hitchhikers Guide to the Galaxy",9780385365925,2022
"Nicolas Nissim Taleb","Fooled by Randomness",812975219,2022
"Shashi Tharoor","The Inglorious Empire",9781849048088,2022
"William Taubman","Gorbachev",9780393356205,2022
"Nicolas Nissim Taleb","The Black Swan",9780141034591,2022
"Phil Knight","Shoe Dog",9781501135910,2022
"Haruki Murakami","Kafka on the Shore",9781784877989,2022
"Edwin Abbott Abbott","Flatland",9780140076158,2022
"George S Clason","Richest Man in Babylon",9780452267251,2022
"Sarah Harvey","Kaizen",9781529005356,2022
"William Strunk","The Elements of Style",9781682040133,2022
"Bill Gates","How to Prevent the Next Pandemic",9780593534489,2022
"Matt Parker","Things to Make and Do in the Fourth Dimension",9781846148590,2022
"Vaclav Smil","How the World Really Works",9780593297063,2022
"George Polya","How to Solve it",9780691119663,2022
"Peter Wohlleben","The Hidden lives of Trees",9781771642484,2022
"Eric Jorgenson","The Almanack of Naval Ravikant",9781544514215,2022
"Erik Conway","Merchants of Doubt",9781596916104,2022
"James Gleick","Chaos",140092501,2022
"Siddhartha Mukherjee","The Gene",9781508211389,2022
"Anna Lembke","Dopamine Nation",9781524746728,2022
"Sunil Gupta, Sunetra Choudhury","Black Warrant",9788194206859,2022
"Bill Browder","Red Notice",9780552170321,2022
"Neil Degrasse Tyson","Starry Messenger",9781250861504,2022
"Randall Munroe","What If?",9781848549562,2022
"Peter Theil","Zero to One",9780804139298,2022
"Check back next year","Unknown as yet",NaN,2026
"Andy Greenberg","Sandworm",9780593146798,2025
"Glenn Greenwald","No Place to Hide",9781627791618,2025
"Scott Galloway","The Algebra of Wealth",9780593714027,2025
"Mary Beard","SPQR",9781631492228,2025
"Kim Zetter","Countdown to Zero Day",9780770436179,2025
"Gary Stevenson","The Trading Game",9780241636602,2025
"Ananyo Bhattacharya","The Man from the Future",9781324050506,2025
"Tim Marshall","Prisoners of Geography",9781615198474,2025
"Hannah Arendt","Origins of Totalitarianism",9780805242256,2025
"Tim Marshall","Worth Dying For",9781501168338,2025
"Tim Marshall","Future of Georgaphy",9781783966875,2025
"Sabine Hossenfelder","Lost in Math",9780465094257,2025
"Tim Marshall","The Power of Geography",9781783966028,2025
"Marco Pierre White","The Devil in the Kitchen",9780752881614,2025
"Robert A. Heinlein","Stranger in a Strange Land",9780425017562,2025
"Serhii Plokhy","The Last Empire",9780465056965,2025
"Frank Luntz","Words that Work",9781401303082,2025
"Jacinda Ardern","A Different Kind of Power",9780593728697,2025
"Steven Pinker","The Better Angels of Our Nature",9780141034645,2025
"Iris Chang","The Rape of Nanking",140277447,2025
"Bill Gates","Source Code",9780593801581,2025
"Anna Malaika Tubbs","Three Mothers",9781250756121,2025
"Frank Herbert","Dune",441013597,2025
"Frank Herbert","Dune: Messiah",9780441172696,2025
"Frank Herbert","Dune: Children of Dune",9780441104024,2025
"Pavitra Kumar","Bhujia Barons",9788184007558,2025
"Arnold Schwarzenegger","Be Useful: Seven Tools for Life",9780593655955,2025
"Satyajit Ray","Our Films, Their Films",9788125015659,2025
"Dan Jones","The Templars",9781781858929,2025
"Yevgeny Zamyatin","We",9780140185850,2025
"Time Berners-Lee","This is for Everyone",9781035023677,2025
"Kurt Vonnegut","Slaughterhouse-Five",9781784879693,2025
"Alexei Navalny","Patriot",9781847927033,2025
"David De Jong","Nazi Billionaires",9780008299781,2025
"Salman Rushdie","Midnight's Children",9780140132700,2025
"Marc David Baer","The Ottomans",9781473695702,2025
"Harper Lee","To Kill a Mockingbird",9780061743528,2025
"Anirudh Kanisetti","Lords of the Deccan",9789391165055,2025
"Thomas Timberg","The Marwaris",9780670084982,2025
"William Shirer","Rise and Fall of the Third Reich",9780449219775,2025
"Venki Ramakrishnan","Gene Machine",9781684415625,2025
"Charles Piller","Doctored",9781668031247,2025
"VS Ramachandran","Phantoms in the Brain",9780688172176,2025
"Lewis Dartnell","Being Human",9781529925531,2025
"Omar El Akkad","One Day, Everyone Will Have Always Been Against This",9780593804148,2025
"John Green","Everything is Tuberculosis",9780525556572,2025
"Patrick McGee","Apple in China",9781668053393,2025
"John Steinbeck","Of Mice and Men",9781405964098,2025
"Ursula Le Guin","The Ones Who Walk Away from Omelas",886825016,2025
"Nathuram Godse","Why I Killed Gandhi",9783956763182,2025
"C.S. Lewis","The Great Divorce",9780060652951,2024
"C.S. Lewis","Out of the Silent Planet",9780684823805,2024
"C.S. Lewis","Perelandra",9780025708402,2024
"Isaac Asimov","I, Robot",9780553803709,2024
"Asimov, Robert Silverberg","The Positronic Man",9780385263429,2024
"Isaac Asimov","Nemesis",9782724269123,2024
"Isaac Asimov","The Caves of Steel",553293400,2024
"Isaac Asimov","The Naked Sun",9780449238059,2024
"Isaac Asimov","Robots of Dawn",9780345315717,2024
"Isaac Asimov","Robots & The Empire",9780345337696,2024
"Paul Rosolie","Mother of God",9780062259516,2024
"Isaac Asimov","The Stars like Dust",9780765319159,2024
"Isaac Asimov","The Currents of Space",9780765319166,2024
"Franz Kafka","The Metamorphosis",9781619490048,2024
"C.S. Lewis","That Hideous Strength",9780743234924,2024
"Isaac Asimov","Pebble in the Sky",9780345311962,2024
"Isaac Asimov","Prelude to Foundation",9782724246407,2024
"Vladimir Lenin","Imperialism, the Highest Stage of Capitalism",9781614271901,2024
"B. R. Ambedkar","Annihilation of Caste",9781074283759,2024
"Anthony Burgess","A Clockwork Orange",9781856132664,2024
"Isaac Asimov","Forward the Foundation",553404881,2024
"Isaac Asimov","Foundation",9780553382570,2024
"Isaac Asimov","Foundation and Empire",9780380397013,2024
"Miguel Cervantes","Don Quixote",9781587266171,2024
"H. G. Wells","The Island of Doctor Moreau",486290271,2024
"H. G. Wells","The War of the Worlds",9780141026008,2024
"H. G. Wells","The Time Machine",9789176371381,2024
"H. G. Wells","The Sleeper Awakes",9780141441061,2024
"James A. Corey","Leviathan Wakes",9780356517162,2024
"James A. Corey","Caliban's War",9781841499901,2024
"James A. Corey","Abaddon’s Gate",9780316129077,2024
"H. G. Wells","The World Set Free",NaN,2024
"H. G. Wells","The First Men in the Moon",192828282,2024
"Isaac Asimov","Second Foundation",9780008117511,2024
"Isaac Asimov","Foundation’s Edge",9780008117528,2024
"Philip K Dick","The Man in the High Castle",9780544817289,2024
"Han Kang","The Vegetarian",9780553448191,2024
"Isaac Asimov","Foundation and Earth",9780586071106,2024
"Han Kang","Greek Lessons",9780593595275,2024
"Homer","The Illiad",9781324001805,2024
"Homer","The Odyssey",9780131830752,2024
"Albert Camus","The First Man",679439374,2024
"Fyodor Dostoyevsky","The Brothers Karamazov",9780852291634,2024
"Fyodor Dostoyevsky","The Idiot",9781862075931,2024
"Albert Camus","The Myth of Sisyphus",679733736,2024
"James Joyce","Ulysses",9798682325047,2024
"Chandrachur Ghose","India: The Birth of a Republic",9780670097104,2024
"Joseph Menn","Cult of the Dead Cow",9781541762381,2024
"Michael Riordan, Lillian Hoddeson","Crystal Fire",393041247,2024
"Andrew Roberts","Napoleon",9788490613214,2024